NVDA 
MSFT
AAPL
AMZN
GOOGL
META
AVGO
BRK/A
TSLA
TSM 
WMT
V
JPM
LLY
ORCL
NFLX
MA
COST
PG
JNJ
SAP 
HD
ABBV
BABA
KO
RMS
UNH
TMUS
PLTR
MC
NOVOB
PM
ASML
CRM
NESN
IHC
ROG
MCD
ABT
CSCO
OR
IBM
LIN
GE
MRK
NOVN
T
NOW
AXP
MS
PEP
ACN
ISRG
VZ
INTU
GS
BX
UBER
RTX
QCOM
DIS
TMO
BKNG
PGR
ADBE
AMD
AMGN
BSX
SPGI
TXN
CAT
SCHW
PDD
BLK
TJX
DHR
SYK
BA
GILD
SU
PFE
HON
UNP
VRTX
EL
DE
BHP
CMCSA
SAN
LOW
SPOT
AMAT
RIO
ADP
AIR
ARM
PANW
6501
ETN
MDT
MMC
CRWD
SAF
KKR
PRX
BMY
MO
FI
AMT
GEV
ELV
ADI
WELL
PLD
SBUX
CME
ANET
INTC
ICE
CFR
APH
CDI
KLAC
WM
LRCX
CI
APP
MU
NKE
MCK
RACE
ABBN
MDLZ
CTAS
SHW
HCA
UPS
CVS
EQIX
MCO
MSTR
DASH
FTNT
ORLY
CDNS
TT
PH
ABNB
TDG
SCCO
AI
MELI
LMT
IBKR
MRVL
APO
TEAM
SNPS
MMM
MAR
CMG
MSI
CSL
DELL
ITW
PYPL
ECL
COIN
SE
ZTS
REGN
CRH
CL
EMR
APD
WMB
RSG
RCL
WDAY
NTES
NOC
GD
DG
NU
ADSK
BDX
HLT
JD
CSX
FDX
SNOW
HOLN
ROP
NET
ADYEN
SLB
TGT
JCI
NSC
AZO
FCX
CPRT
CHTR
HOOD
DSY
WES
NXPI
CARR
CVNA
PCAR
8031
UMG
NEM
PAYX
PSA
XYZ
HWM
CMI
FLUT
SGO
AXON
GWW
DSV
LULU
URI
KR
LONN
MNST
HEIA
GM
BN
COR
NDAQ
ROST
DDOG
TEL
BKR
ALC
WKL
KMB
EW
GLW
TCOM
MSCI
CPNG
CTSH
FICO
ODFL
CTVA
HUBS
KDP
RBLX
GEHC
PWR
FAST
SIKA
AME
VRSK
YUM
KVUE
DAL
DHI
VRT
TTD
GRMN
GIVN
EAND
IT
STLA
CCI
FNMA
A
OTIS
FMG
CCEP
FIS
LHX
VEEV
IDXX
F
IR
TTWO
RDDT
FERG
KER
LYV
SYY
VMC
OWL
HO
RMD
DD
IQV
KHC
MPWR
ALNY
ACGL
ROK
EA
BIDU
CCL
WAB
AD
EBAY
CAP
UAL
EXR
DXCM
LEN
GIS
ZS
HSY
MLM
SCHP
XYL
NUE
IOT
EFX
HPQ
KEYS
ORA
HUM
CAH
TSCO
LVS
CSGP
ALL
GALD
TKO
ASM
GDDY
ANSS
STZ
IP
SCMN
MCHP
DSFIR
LR




































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































